@id,공포번호,공포일자,법령ID,법령구분명,법령명한글,법령상세링크,법령약칭명,법령일련번호,소관부처명,소관부처코드,시행일자,자법타법여부,제개정구분명,현행연혁코드
164,14934,20171024,009760,법률,건축물의 분양에 관한 법률,/DRF/lawService.do?OC=tooget&target=law&MST=198266&type=HTML&mobileYn=&efYd=20180125,건축물분양법,198266,국토교통부,1613000,20180125,,일부개정,현행
165,28627,20180209,009944,대통령령,건축물의 분양에 관한 법률 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=202078&type=HTML&mobileYn=&efYd=20180209,건축물분양법시행령,202078,국토교통부,1613000,20180209,,타법개정,현행
166,00485,20180122,009950,국토교통부령,건축물의 분양에 관한 법률 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=201799&type=HTML&mobileYn=&efYd=20180125,건축물분양법시행규칙,201799,국토교통부,1613000,20180125,,일부개정,현행
167,00467,20171204,006188,국토교통부령,건축물의 설비기준 등에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=199373&type=HTML&mobileYn=&efYd=20171204,,199373,국토교통부,1613000,20171204,,일부개정,현행
168,00548,20181018,006189,국토교통부령,건축물의 피난ㆍ방화구조 등의 기준에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=204945&type=HTML&mobileYn=&efYd=20181018,,204945,국토교통부,1613000,20181018,,일부개정,현행
169,00001,20130323,006190,국토교통부령,건축물착공통계조사시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=137653&type=HTML&mobileYn=&efYd=20130323,,137653,국토교통부,1613000,20130323,,타법개정,현행
170,15594,20180417,001823,법률,건축법,/DRF/lawService.do?OC=tooget&target=law&MST=203205&type=HTML&mobileYn=&efYd=20181018,,203205,국토교통부,1613000,20181018,,일부개정,현행
171,29235,20181016,002118,대통령령,건축법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=204860&type=HTML&mobileYn=&efYd=20181018,,204860,국토교통부,1613000,20181018,,일부개정,현행
172,00524,20180615,006191,국토교통부령,건축법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=203893&type=HTML&mobileYn=&efYd=20180615,,203893,국토교통부,1613000,20180615,,일부개정,현행
173,15595,20180417,000254,법률,건축사법,/DRF/lawService.do?OC=tooget&target=law&MST=203206&type=HTML&mobileYn=&efYd=20180417,,203206,국토교통부,1613000,20180417,,일부개정,현행
174,29194,20180928,002119,대통령령,건축사법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=204686&type=HTML&mobileYn=&efYd=20180928,,204686,국토교통부,1613000,20180928,,타법개정,현행
175,00388,20170117,006192,국토교통부령,건축사법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=191234&type=HTML&mobileYn=&efYd=20170117,,191234,국토교통부,1613000,20170117,,일부개정,현행
176,11865,20130604,011868,법률,건축서비스산업 진흥법,/DRF/lawService.do?OC=tooget&target=law&MST=140982&type=HTML&mobileYn=&efYd=20140605,건축서비스법,140982,국토교통부,1613000,20140605,,제정,현행
177,26893,20160112,012078,대통령령,건축서비스산업 진흥법 시행령,/DRF/lawService.do?OC=tooget&target=law&MST=179426&type=HTML&mobileYn=&efYd=20160112,건축서비스법시행령,179426,국토교통부,1613000,20160112,,일부개정,현행
178,00098,20140605,012080,국토교통부령,건축서비스산업 진흥법 시행규칙,/DRF/lawService.do?OC=tooget&target=law&MST=155446&type=HTML&mobileYn=&efYd=20140605,건축서비스법시행규칙,155446,국토교통부,1613000,20140605,,제정,현행
179,00757,20111228,011512,법무부령,검사복무평정규칙,/DRF/lawService.do?OC=tooget&target=law&MST=119794&type=HTML&mobileYn=&efYd=20120101,,119794,법무부,1270000,20120101,,제정,현행
180,21344,20090312,010861,대통령령,검사 선서에 관한 규정,/DRF/lawService.do?OC=tooget&target=law&MST=91924&type=HTML&mobileYn=&efYd=20090312,,91924,법무부,1270000,20090312,,타법개정,현행
181,00830,20141103,011572,법무부령,검사의 국선변호사 선정 등에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=161842&type=HTML&mobileYn=&efYd=20141103,,161842,법무부,1270000,20141103,,일부개정,현행
182,00771,20120416,006194,법무부령,검사의 법복에 관한 규칙,/DRF/lawService.do?OC=tooget&target=law&MST=124729&type=HTML&mobileYn=&efYd=20120416,,124729,법무부,1270000,20120416,,일부개정,현행
